id,year,week,neutral_site,home_team,home_conference,home_points,home_elo,away_team,away_conference,away_points,away_elo,spread,margin,predicted margin
401282070,2021,3,False,Penn State,Big Ten,28,1753.0,Auburn,SEC,20,1740.0,-4.0,-8,-0.08148778
401282202,2021,3,False,Texas,Big 12,58,1721.0,Rice,Conference USA,0,1293.0,-26.0,-58,-0.050054982
401282080,2021,3,False,Vanderbilt,SEC,23,1240.0,Stanford,Pac-12,41,1497.0,12.5,18,-0.0701651
401282075,2021,3,False,Ole Miss,SEC,61,1626.0,Tulane,American Athletic,21,1603.0,-14.0,-40,-0.07713358
401287903,2021,3,False,Boise State,Mountain West,20,1679.0,Oklahoma State,Big 12,21,1661.0,-3.5,1,-0.051865004
401309854,2021,3,False,BYU,FBS Independents,27,1814.0,Arizona State,Pac-12,17,1670.0,3.0,-10,-0.06521733
401287906,2021,3,False,UNLV,Mountain West,3,1229.0,Iowa State,Big 12,48,1776.0,32.0,45,-0.19673118
401309855,2021,3,False,UCLA,Pac-12,37,1630.0,Fresno State,Mountain West,40,1564.0,-11.0,3,-0.027523272
401310705,2021,3,False,Hawai'i,Mountain West,13,1343.0,San José State,Mountain West,17,1469.0,8.0,4,-0.03929907
401282208,2021,4,False,Appalachian State,Sun Belt,31,1664.0,Marshall,Conference USA,30,1616.0,-7.0,-1,-0.035114035
401282204,2021,4,False,Charlotte,Conference USA,42,1338.0,Middle Tennessee,Conference USA,39,1276.0,-2.5,-3,-0.010742363
401282638,2021,4,False,Virginia,ACC,17,1543.0,Wake Forest,ACC,37,1609.0,-3.5,20,-0.06564009
401282637,2021,4,False,Syracuse,ACC,24,1420.0,Liberty,FBS Independents,21,1606.0,6.5,-3,-0.047953624
401310707,2021,4,False,Fresno State,Mountain West,38,1573.0,UNLV,Mountain West,30,1166.0,-30.0,-8,-0.022838056
401308834,2021,4,False,Army,FBS Independents,23,1639.0,Miami (OH),Mid-American,10,1376.0,-7.5,-13,0.021043483
401310706,2021,4,False,Utah State,Mountain West,3,1364.0,Boise State,Mountain West,27,1677.0,9.5,24,-0.09596118
401282206,2021,4,False,Central Michigan,Mid-American,31,1378.0,Florida International,Conference USA,27,1283.0,-12.0,-4,-0.009091031
401287910,2021,4,False,TCU,Big 12,34,1644.0,SMU,American Athletic,42,1545.0,-9.5,8,-0.027629696
401282088,2021,4,False,Vanderbilt,SEC,0,1222.0,Georgia,SEC,62,1938.0,36.0,62,-0.2665085
401287911,2021,4,False,Texas,Big 12,70,1840.0,Texas Tech,Big 12,35,1566.0,-9.0,-35,-0.044938885
401282086,2021,4,False,Boston College,ACC,41,1530.0,Missouri,SEC,34,1510.0,-1.0,-7,-0.0010640956
401282085,2021,4,False,Mississippi State,SEC,25,1540.0,LSU,SEC,28,1694.0,1.5,3,-0.06860943
401282707,2021,4,True,Wisconsin,Big Ten,13,1763.0,Notre Dame,FBS Independents,41,1774.0,-6.0,28,-0.12552239
401282792,2021,4,False,Minnesota,Big Ten,10,1648.0,Bowling Green,Mid-American,14,1020.0,-30.5,4,-0.009546412
401282805,2021,4,False,Northwestern,Big Ten,35,1547.0,Ohio,Mid-American,6,1407.0,-13.5,-29,-0.021810398
401286301,2021,4,False,Coastal Carolina,Sun Belt,53,1654.0,UMass,FBS Independents,3,1005.0,-36.0,-50,-0.036152065
401309557,2021,4,False,Eastern Michigan,Mid-American,59,1383.0,Texas State,Sun Belt,21,1290.0,-7.5,-38,-0.025132157
401309555,2021,4,False,Ball State,Mid-American,12,1408.0,Toledo,Mid-American,22,1401.0,4.5,10,-0.031219147
401309554,2021,4,False,Western Michigan,Mid-American,23,1445.0,San José State,Mountain West,3,1467.0,-2.5,-20,-0.015316717
401309861,2021,4,False,Utah,Pac-12,24,1635.0,Washington State,Pac-12,13,1422.0,-15.0,-11,-0.010667156
401282640,2021,4,False,Florida State,ACC,23,1345.0,Louisville,ACC,31,1527.0,-1.5,8,-0.024456438
401282756,2021,4,False,Iowa,Big Ten,24,1883.0,Colorado State,Mountain West,14,1426.0,-23.5,-10,-0.029426903
401282643,2021,4,False,NC State,ACC,27,1532.0,Clemson,ACC,21,1907.0,10.5,-6,-0.14874817
401282775,2021,4,False,Michigan,Big Ten,20,1824.0,Rutgers,Big Ten,13,1536.0,-20.5,-7,-0.042107936
401287907,2021,4,False,Baylor,Big 12,31,1585.0,Iowa State,Big 12,29,1839.0,7.0,-2,-0.12288219
401282082,2021,4,True,Arkansas,SEC,20,1638.0,Texas A&M,SEC,10,1817.0,4.5,-10,-0.11441468
401282716,2021,4,False,Purdue,Big Ten,13,1570.0,Illinois,Big Ten,9,1339.0,-10.5,-4,0.013359006
401282765,2021,4,False,Maryland,Big Ten,37,1397.0,Kent State,Mid-American,16,1386.0,-13.0,-21,-0.029659845
401286190,2021,4,False,Connecticut,FBS Independents,22,1006.0,Wyoming,Mountain West,24,1634.0,31.5,2,-0.1698208
401282213,2021,4,False,Memphis,American Athletic,28,1552.0,UT San Antonio,Conference USA,31,1470.0,-3.0,3,-0.0005321242
401282639,2021,4,False,Duke,ACC,52,1322.0,Kansas,Big 12,33,1080.0,-16.5,-19,-0.007440282
401282083,2021,4,False,Auburn,SEC,34,1729.0,Georgia State,Sun Belt,24,1288.0,-27.5,-10,-0.023434453
401301011,2021,4,False,Tulsa,American Athletic,41,1510.0,Arkansas State,Sun Belt,34,1257.0,-14.5,-7,0.0069432836
401282209,2021,4,False,Old Dominion,Conference USA,34,1206.0,Buffalo,Mid-American,35,1563.0,13.0,1,-0.079428285
401309610,2021,4,False,Georgia Southern,Sun Belt,20,1382.0,Louisiana,Sun Belt,28,1693.0,14.5,8,-0.088908024
401309858,2021,4,False,Stanford,Pac-12,24,1515.0,UCLA,Pac-12,35,1621.0,4.0,11,-0.05766298
401282084,2021,4,False,Florida,SEC,38,1744.0,Tennessee,SEC,14,1517.0,-19.0,-24,-0.04472332
401282087,2021,4,False,South Carolina,SEC,10,1382.0,Kentucky,SEC,16,1598.0,4.5,6,-0.042439215
401282784,2021,4,False,Michigan State,Big Ten,23,1554.0,Nebraska,Big Ten,20,1573.0,-3.5,-3,-0.01623516
401282205,2021,4,False,Louisiana Tech,Conference USA,24,1350.0,North Texas,Conference USA,17,1185.0,-10.5,-7,-0.0043448247
401287909,2021,4,False,Oklahoma State,Big 12,31,1663.0,Kansas State,Big 12,20,1547.0,-6.0,-11,-0.012323048
401301008,2021,4,False,Houston,American Athletic,28,1558.0,Navy,American Athletic,20,1260.0,-20.0,-8,-0.0015943181
401282641,2021,4,True,Georgia Tech,ACC,45,1383.0,North Carolina,ACC,22,1804.0,14.5,-23,-0.14796789
401282081,2021,4,False,Alabama,SEC,63,2104.0,Southern Mississippi,Conference USA,14,1278.0,-45.0,-49,-0.09173374
401287908,2021,4,False,Oklahoma,Big 12,16,1863.0,West Virginia,Big 12,13,1543.0,-17.5,-3,-0.0376663
401282811,2021,4,False,Ohio State,Big Ten,59,1893.0,Akron,Mid-American,7,991.0,-48.5,-52,-0.06939504
401282214,2021,4,False,Western Kentucky,Conference USA,31,1401.0,Indiana,Big Ten,33,1586.0,9.5,2,-0.057634182
401282211,2021,4,False,Tulane,American Athletic,21,1490.0,UAB,Conference USA,28,1492.0,-2.5,7,-0.010835936
401309611,2021,4,False,Louisiana Monroe,Sun Belt,29,1058.0,Troy,Sun Belt,16,1465.0,23.5,-13,-0.11192629
401310708,2021,4,False,New Mexico State,FBS Independents,21,1172.0,Hawai'i,Mountain West,41,1345.0,17.0,20,-0.08413862
401282207,2021,4,False,Air Force,Mountain West,31,1604.0,Florida Atlantic,Conference USA,7,1575.0,-3.5,-24,-0.040565334
401282212,2021,4,False,UTEP,Conference USA,20,1221.0,New Mexico,Mountain West,13,1276.0,2.5,-7,-0.037723064
